Czech name,Code,eGov index,Year,EU28
Argentina,ARG,0.5467,2010,
Spojené arabské emiráty,ARE,0.5349,2010,
Kuvajt,KWT,0.529,2010,
Jordán,JOR,0.5278,2010,
Makedonie,MKD,0.5261,2010,
Mongolsko,MNG,0.5243,2010,
Ukrajina,UKR,0.5181,2010,
Antigua a Barbuda,0,0.5154,2010,
Mexiko,MEX,0.515,2010,
Andorra,AND,0.5148,2010,
Saudská arábie,SAU,0.5142,2010,
Rusko,RUS,0.5136,2010,
Černá Hora,MNE,0.5101,2010,
Brazílie,BRA,0.5006,2010,
Katar,QAT,0.4928,2010,
Peru,PER,0.4923,2010,
Bělorusko,BLR,0.49,2010,
Bahamské ostrovy,BHS,0.4871,2010,
Tunisko,TUN,0.4826,2010,
Trinidad a Tobago,TTO,0.4806,2010,
Brunej,BRN,0.4796,2010,
Turecko,TUR,0.478,2010,
Venezuela,VEN,0.4774,2010,
Kostarika,CRI,0.4749,2010,
Čína,CHN,0.47,2010,
El Salvador,0,0.47,2010,
Bosna a Hercegovina,BIH,0.4698,2010,
Svatý Kryštof a Nevis,0,0.4691,2010,
Thajsko,THA,0.4653,2010,
Mauricius,MUS,0.4645,2010,
Filipíny,PHL,0.4637,2010,
Panama,PAN,0.4619,2010,
Moldavsko,MDA,0.4611,2010,
Srbsko,SRB,0.4585,2010,
Omán,OMN,0.4576,2010,
Ázerbajdžán,AZE,0.4571,2010,
Dominikánská republika,0,0.4557,2010,
Albánie,ALB,0.4519,2010,
Egypt,EGY,0.4518,2010,
Uzbekistán,UZB,0.4498,2010,
Svatá Lucie,,0.4471,2010,
Jamaica,JAM,0.4467,2010,
Vietnam,VNM,0.4454,2010,
Kyrgyzstán,KGZ,0.4417,2010,
Maledivy,MDV,0.4392,2010,
Libanon,LBN,0.4388,2010,
Svatý Vincenc a Grenadiny,0,0.4355,2010,
Ekvádor,ECU,0.4322,2010,
Kuba,CUB,0.4321,2010,
Jihoafrická republika,ZAF,0.4306,2010,
Bolívie,BOL,0.428,2010,
Grenada,GRD,0.4277,2010,
Gruzie,GEO,0.4248,2010,
Paraguay,PRY,0.4243,2010,
Írán,IRN,0.4234,2010,
Palau,PLW,0.4189,2010,
Seychely,SYC,0.4179,2010,
Dominika,DMA,0.4149,2010,
Guyana,GUY,0.414,2010,
Honduras,HND,0.4065,2010,
Kapverdy,,0.4054,2010,
Indonésie,IDN,0.4026,2010,
Arménie,ARM,0.4025,2010,
Srí Lanka,LKA,0.3995,2010,
Guatemala,GTM,0.3937,2010,
Fiji,FJI,0.3925,2010,
Libye,LBY,0.3799,2010,
Samoa,WSM,0.3742,2010,
Tonga,TON,0.3697,2010,
Botswana,BWA,0.3637,2010,
Nikaragua,NIC,0.363,2010,
Indie,IND,0.3567,2010,
Belize,BLZ,0.3513,2010,
Lesotho,LSO,0.3512,2010,
Tádžikistán,TJK,0.3477,2010,
Gabon,GAB,0.342,2010,
Keňa,KEN,0.3338,2010,
Namibie,NAM,0.3314,2010,
Maroko,MAR,0.3287,2010,
Surinam,SUR,0.3283,2010,
Svatý Tomáš a Princův ostrov,0,0.3258,2010,
Zimbabwe,ZWE,0.323,2010,
Turkmenistán,TKM,0.3226,2010,
Alžírsko,DZA,0.3181,2010,
Angola,AGO,0.311,2010,
Sýrie,SYR,0.3103,2010,
Bangladéš,BGD,0.3028,2010,
Kongo,COG,0.3019,2010,
Irák,IRQ,0.2996,2010,
Tanzanie,TZA,0.2926,2010,
Rovníková Guinea,0,0.2902,2010,
Madagaskar,MDG,0.289,2010,
Kambodža,KHM,0.2878,2010,
Myanmar,MMR,0.2818,2010,
Uganda,UGA,0.2812,2010,
Zambie,ZMB,0.281,2010,
Pobřeží slonoviny,CIV,0.2805,2010,
Svazijsko,,0.2757,2010,
Pákistán,PAK,0.2755,2010,
Ghana,GHA,0.2754,2010,
Rwanda,RWA,0.2749,2010,
Kamerun,CMR,0.2722,2010,
Nigérie,NGA,0.2687,2010,
Laos,LAO,0.2637,2010,
Bhútán,BTN,0.2598,2010,
Nepál,NPL,0.2568,2010,
Sudan,SDN,0.2542,2010,
Vanuatu,VUT,0.2521,2010,
Šalamounovy ostrovy,,0.2445,2010,
Mauritánie,MRT,0.2359,2010,
Demokratická republika Kongo,COD,0.2357,2010,
Malawi,MWI,0.2357,2010,
Komory,COM,0.2327,2010,
Mosambik,MOZ,0.2288,2010,
Timor-Leste,TLS,0.2273,2010,
Senegal,SEN,0.2241,2010,
Jemen,YEM,0.2154,2010,
Togo,TGO,0.215,2010,
Libérie,LBR,0.2133,2010,
Gambie,GMB,0.2117,2010,
Afghánistán,AFG,0.2098,2010,
Haiti,HTI,0.2074,2010,
Džibutsko,DJI,0.2059,2010,
Papua-Nová Guinea,PNG,0.2043,2010,
Etiopie,ETH,0.2033,2010,
Benin,BEN,0.2017,2010,
Burundi,BDI,0.2014,2010,
Eritrea,ERI,0.1859,2010,
Mali,MLI,0.1815,2010,
Sierra Leone,SLE,0.1697,2010,
Burkina Faso,,0.1587,2010,
Guinea-Bissau,GNB,0.1561,2010,
Guinea,GIN,0.1426,2010,
Středoafrická republika,CAF,0.1399,2010,
Čad,TCD,0.1235,2010,
Niger,NER,0.1098,2010,
